relation_id,n_triples,temporal_fanout,static_fanout,tail_fanin,n_heads,n_tails,head_tail_ratio,tail_entropy,one_to_one_frac,powerlaw_gamma,forman_ricci,grc,clustering,beta1,delta_hyp,ollivier_rc,longest_path,reciprocity,growth_rate,growth_r2,sustained_growth,ball_r1,ball_r2,ball_r3,ball_r4,saturation_r,branch_persist,eff_diameter
111,1374,1.057737,2.387597,1.11526,387,335,1.155224,4.883145,0.948422,1.746669,-28.758621,0.2175,0.094462,354,0.031224,0.007311,10,0.116883,0.916204,0.805693,0.729273,3.167,36.775,160.625,305.275,6,0.187126,8.00
112,2728,1.125877,2.929883,1.124948,599,538,1.113383,5.125807,0.87825,1.681209,-43.820622,0.17985,0.100919,823,0.042771,0.002691,11,0.132194,1.224231,0.838240,0.943348,4.408,79.658,332.158,602.492,5,0.309776,8.00
113,1069,1.098664,2.450512,1.095287,293,290,1.010345,4.945463,0.911614,1.753034,-23.032448,0.255668,0.078504,264,0.045135,-0.023834,9,0.111421,0.847113,0.792447,0.671566,3.500,34.750,144.992,255.775,6,0.207602,8.00
114,267,1.063745,1.612069,1.089796,116,117,0.991453,4.383354,0.936255,1.960947,-4.604396,0.223115,0.036498,22,0.037375,-0.018001,8,0.053476,0.533087,0.881868,0.437957,3.000,9.083,20.817,33.008,6,0.283513,8.00
115,1650,1.095618,2.637097,1.117129,372,322,1.15528,4.499295,0.910359,1.734623,-41.078801,0.190149,0.141493,407,0.038142,0.008854,8,0.163099,1.140816,0.816035,0.872971,3.442,60.417,222.400,362.200,5,0.126236,8.00
116,2716,1.110838,3.098814,1.111293,506,508,0.996063,5.123832,0.897751,1.684002,-44.130944,0.252122,0.104161,743,0.038248,0.024190,7,0.149235,1.160821,0.824036,0.886507,4.867,81.858,324.100,542.958,5,0.207244,8.00
117,96,1.090909,1.386364,1.156627,44,41,1.073171,3.297608,0.909091,2.033827,-2.033333,0.122535,0.055587,4,0.002121,0.043056,7,0.032787,0.304935,0.884904,0.254148,2.600,5.480,8.067,9.880,6,0.042040,8.00
118,712,1.093702,2.017621,1.10559,227,228,0.995614,4.760449,0.906298,1.819449,-16.0,0.31164,0.077838,106,0.024023,-0.012046,12,0.087336,0.791074,0.843744,0.639856,3.608,25.050,83.075,155.450,6,0.155118,8.00
119,1196,1.091241,2.535836,1.10434,293,272,1.077206,4.748226,0.912409,1.722542,-18.735931,0.248274,0.087182,296,0.058490,0.009647,9,0.134590,0.784754,0.819125,0.625938,5.058,35.525,133.200,238.550,6,0.259715,8.00
120,395,1.219136,2.044118,1.088154,136,147,0.92517,4.556647,0.790123,1.801986,-7.101887,0.301579,0.097427,64,0.047674,0.035264,10,0.093525,0.585106,0.881884,0.491117,3.300,12.375,30.825,60.817,7,0.256915,8.00
121,548,1.113821,2.040698,1.100402,172,163,1.055215,4.211947,0.890244,1.816327,-13.604863,0.229296,0.105397,84,0.034217,0.044655,9,0.125356,0.593605,0.803492,0.490447,3.942,22.358,67.400,118.192,7,0.230168,8.00
122,1876,1.142509,3.087912,1.215813,182,172,1.05814,3.213448,0.876979,1.739846,-38.271255,0.269952,0.21054,241,0.037002,0.078734,6,0.241993,0.834764,0.770387,0.629759,5.275,55.108,136.367,176.650,5,0.102632,8.00
123,970,1.102273,2.207627,1.087444,236,218,1.082569,4.398642,0.897727,1.782992,-23.215292,0.285344,0.104327,173,0.034942,0.040695,8,0.092131,0.793955,0.800453,0.631769,3.625,34.358,111.317,195.158,6,0.248405,8.00
124,288,1.107692,1.773913,1.142857,115,122,0.942623,4.31359,0.9,1.912733,-7.142857,0.237011,0.048432,30,0.054952,0.024040,10,0.078431,0.514726,0.847491,0.427982,2.792,10.292,25.200,43.025,7,0.342908,8.00
125,543,1.10142,2.044586,1.188184,157,149,1.053691,4.003177,0.89858,1.824044,-12.795987,0.260382,0.077763,76,0.029857,0.067753,9,0.137072,0.681912,0.858273,0.555417,3.650,18.842,50.642,87.092,6,0.159417,8.00
126,111,1.04717,1.338235,1.067308,68,55,1.236364,3.799917,0.95283,1.958701,-1.325843,0.05196,0.0,1,0.005692,-0.033173,11,0.043956,0.347956,0.903599,0.300057,2.695,5.476,9.743,15.590,8,-0.036422,8.00
127,368,1.060519,1.782609,1.118541,138,115,1.2,4.033539,0.942363,1.866843,-9.46888,0.207813,0.042961,45,0.050469,0.023004,11,0.040650,0.603162,0.843805,0.502480,2.992,13.817,39.558,76.667,7,0.160275,8.00
128,462,1.132353,2.07563,1.110577,119,102,1.166667,3.83399,0.872549,1.809047,-13.855932,0.213238,0.106061,79,0.057278,0.057274,7,0.089069,0.831918,0.860448,0.639710,3.392,19.533,57.925,91.525,5,0.063734,8.00
129,1216,1.096483,2.361823,1.151515,351,349,1.005731,5.1765,0.914337,1.765458,-22.123847,0.251265,0.074884,269,0.042380,0.017120,8,0.168878,0.851868,0.836953,0.681058,4.767,34.217,143.442,285.683,6,0.202226,8.00
130,270,1.120332,1.851852,1.153846,108,98,1.102041,4.098367,0.908714,1.836396,-8.694737,0.238194,0.045118,40,0.017636,0.028697,7,0.100000,0.648161,0.841954,0.520101,3.358,14.808,43.933,73.883,6,0.318779,8.00
131,189,1.055866,1.869565,1.067797,69,83,0.831325,4.026671,0.944134,1.966041,-12.196721,0.295865,0.052998,9,0.015397,0.014891,10,0.108527,0.365231,0.736693,0.308623,2.942,15.258,28.075,40.475,8,0.008163,8.00
132,263,1.047809,1.6875,1.073469,96,97,0.989691,4.142652,0.952191,1.915712,-7.531646,0.175469,0.056845,18,0.011469,0.020494,12,0.049383,0.495146,0.833651,0.415517,2.767,10.917,25.533,41.517,7,0.148990,8.00
133,79,1.082192,1.892857,1.012821,28,41,0.682927,3.480638,0.931507,1.901373,-2.196078,0.339504,0.103301,5,0.004507,0.031016,8,0.075472,0.307853,0.831942,0.250452,2.821,6.179,10.071,12.321,6,0.011687,8.00
134,151,1.10219,1.731343,1.06338,67,67,1.0,3.818495,0.89781,1.871659,-3.302752,0.219993,0.084515,17,0.048456,0.061118,12,0.120690,0.364388,0.887386,0.316193,3.000,7.459,14.523,21.514,8,0.220989,8.00
135,612,1.195312,2.462963,1.192982,162,168,0.964286,4.15811,0.861328,1.801337,-33.473684,0.265567,0.134464,101,0.037160,0.080845,7,0.380952,0.883777,0.758936,0.668230,3.608,50.892,111.283,155.167,5,0.098148,8.00
136,258,1.102564,1.780952,1.04878,105,106,0.990566,4.213323,0.897436,1.947382,-8.877778,0.223141,0.030913,21,0.032642,0.000648,9,0.074866,0.504548,0.814726,0.419577,2.942,13.175,31.333,50.492,7,0.018103,8.00
137,633,1.087629,2.121693,1.118375,189,180,1.05,4.198288,0.917526,1.823428,-24.502703,0.258168,0.099678,107,0.035171,0.023314,9,0.154613,0.999759,0.842668,0.772144,3.183,31.817,107.183,173.483,5,0.121690,8.00
138,2094,1.134959,3.045908,1.134959,501,484,1.035124,5.344206,0.879675,1.722164,-29.21329,0.163727,0.12204,411,0.043513,0.016265,7,0.777195,1.092008,0.859985,0.842543,4.833,49.400,203.208,359.917,5,0.182407,8.00
139,238,1.096774,1.568807,1.127962,109,90,1.211111,4.049271,0.903226,1.88966,-5.177914,0.198293,0.085404,17,0.032329,0.030917,11,0.093567,0.437851,0.864191,0.374138,2.950,9.500,19.833,34.492,8,0.008024,8.00
140,1266,1.149864,2.617284,1.15828,243,255,0.952941,4.343308,0.86376,1.752128,-19.509025,0.283078,0.096525,215,0.046875,-0.008206,8,0.257862,0.810699,0.836101,0.650749,3.892,27.692,103.375,188.533,6,0.194446,8.00
141,457,1.088095,1.849162,1.075294,179,175,1.022857,4.618395,0.92381,1.861159,-11.03537,0.219422,0.096355,59,0.028316,0.024508,12,0.120846,0.487274,0.781446,0.410825,3.175,15.750,45.275,81.083,8,0.092079,8.00
142,191,1.091429,1.474227,1.150602,97,78,1.24359,4.052733,0.92,1.895346,-3.051852,0.143673,0.064177,15,0.011061,0.042197,11,0.111888,0.314339,0.884149,0.274300,3.000,7.217,12.142,16.950,8,0.082367,8.00
143,330,1.044304,1.560976,1.134021,123,105,1.171429,4.040271,0.955696,1.848374,-2.662857,0.172777,0.032224,23,0.045761,0.006073,12,0.177083,0.428828,0.950499,0.378347,2.883,6.367,11.325,19.375,8,0.206411,8.00
144,137,1.104839,1.6875,1.096,64,75,0.853333,4.01057,0.895161,1.935494,-2.788462,0.194556,0.081691,11,0.025971,0.050321,7,0.074074,0.459988,0.915858,0.384423,2.793,6.638,13.000,19.586,6,0.285160,8.00
145,691,1.134647,2.247525,1.102073,202,197,1.025381,4.71577,0.880131,1.76169,-13.981176,0.252376,0.059206,145,0.062694,0.036689,8,0.127753,0.806080,0.857736,0.648596,3.575,21.567,77.242,154.783,6,0.127592,8.00
146,177,1.120253,1.666667,1.066265,69,72,0.958333,3.904962,0.898734,1.935439,-5.132743,0.302715,0.043697,11,0.007634,0.035841,9,0.034783,0.429880,0.836854,0.358795,2.899,9.168,19.168,30.092,7,0.139842,8.00
147,154,1.124088,1.464789,1.124088,71,72,0.986111,3.783681,0.883212,1.960861,-1.70297,0.18212,0.016984,9,0.009288,0.016690,8,0.057692,0.403215,0.928936,0.336752,2.683,5.367,9.483,14.283,6,0.307536,8.00
148,397,1.115169,2.083333,1.047493,120,135,0.888889,4.151633,0.88764,1.860607,-11.824268,0.292556,0.080877,49,0.024319,0.020611,7,0.088000,0.899756,0.900238,0.703634,3.308,17.150,56.458,102.375,5,0.048846,8.00
149,236,1.19797,2.016667,1.097674,60,46,1.304348,3.083727,0.817259,1.735974,-7.805825,0.306489,0.197378,30,0.022343,0.132039,9,0.297521,0.543258,0.875767,0.447544,3.711,13.711,27.500,43.868,6,-0.092016,8.00
150,616,1.105925,2.16129,1.075044,186,180,1.033333,4.459173,0.895871,1.778709,-15.639785,0.247874,0.087308,121,0.040080,0.046779,10,0.149254,0.759685,0.835646,0.612572,3.350,20.967,72.608,128.142,6,0.281140,8.00
151,2,1.0,1.0,1.0,2,2,1.0,0.693147,1.0,nan,2.0,0.222222,0.0,0,,,,,,,,,,,,,,
152,580,1.178862,2.482759,1.132812,116,99,1.171717,3.638534,0.829268,1.752706,-17.098814,0.217535,0.134256,101,0.050430,0.052552,7,0.243056,0.810366,0.853755,0.628313,4.025,24.925,65.742,100.058,5,0.137846,8.00
153,183,1.115854,1.925373,1.095808,67,75,0.893333,3.75931,0.884146,1.898702,-9.3,0.290888,0.055909,17,0.014510,0.015972,10,0.139535,0.562790,0.827276,0.456260,3.069,13.603,31.397,46.638,6,0.119725,8.00
154,557,1.062977,1.75122,1.139059,205,151,1.357616,3.869296,0.937023,1.866331,-36.029326,0.188765,0.043398,72,0.017293,0.018880,8,0.100279,0.709297,0.757555,0.563754,4.008,43.750,106.808,164.200,6,-0.027467,8.00
155,682,1.084261,1.978903,1.167808,237,212,1.117925,4.635826,0.926868,1.786933,-16.695067,0.222388,0.087632,129,0.043279,0.023173,10,0.098081,0.781477,0.826339,0.629815,3.517,26.842,87.450,157.867,6,0.266691,8.00
156,339,1.104235,1.727273,1.069401,143,145,0.986207,4.567103,0.895765,1.874682,-5.161826,0.25702,0.017154,30,0.031464,-0.017339,12,0.048583,0.518913,0.874937,0.444280,3.042,10.017,26.317,51.242,8,0.253251,8.00
157,2056,1.133407,3.141361,1.095365,382,389,0.982005,5.016515,0.879272,1.662907,-37.015469,0.239793,0.137079,557,0.054694,0.048340,7,0.168333,1.081531,0.837345,0.829411,5.600,69.342,260.050,432.208,5,0.232985,8.00
158,147,1.245763,2.194444,1.195122,36,39,0.923077,3.012683,0.762712,1.841283,-6.714286,0.299444,0.132537,17,0.005821,0.101576,8,0.227848,0.420356,0.817443,0.338790,3.295,10.508,19.557,25.492,6,0.154685,8.00
159,744,1.115442,2.200873,1.149923,229,229,1.0,4.823902,0.898051,1.811607,-9.540453,0.25186,0.067099,74,0.023930,0.050872,12,0.773810,0.596632,0.841116,0.497664,3.500,15.542,46.025,87.517,7,0.206845,8.00
160,75,1.071429,1.741935,1.119403,31,37,0.837838,3.393169,0.928571,1.907247,-1.037037,0.128333,0.0,2,0.004957,-0.012346,11,0.000000,0.263456,0.910148,0.230316,2.770,5.328,8.115,10.574,8,-0.069945,8.00
161,33,1.0,1.045455,1.064516,22,17,1.294118,2.382861,1.0,2.150032,0.434783,0.062284,0.0,0,,,,,,,,,,,,,,
162,404,1.060367,1.715976,1.131653,169,156,1.083333,4.474655,0.939633,1.864238,-10.109091,0.226064,0.047232,49,0.019397,0.018424,9,0.103448,0.604635,0.836332,0.500782,2.958,13.900,40.958,79.008,7,0.207488,8.00
163,451,1.071259,1.764103,1.076372,195,187,1.042781,4.696861,0.928741,1.869148,-9.26284,0.211586,0.044763,67,0.034271,0.003256,9,0.075581,0.607805,0.828126,0.503807,3.400,16.575,51.708,96.283,7,0.285891,8.00
164,321,1.07,1.719424,1.099315,139,115,1.208696,4.143902,0.936667,1.875761,-9.568966,0.18046,0.055805,48,0.039059,0.031461,9,0.058577,0.706490,0.864565,0.574050,3.150,14.633,45.017,83.192,6,0.206915,8.00
165,114,1.085714,1.588235,1.14,51,53,0.962264,3.220525,0.914286,1.982973,-5.037975,0.211131,0.083409,7,0.000330,0.044293,7,0.049383,0.449448,0.865100,0.369371,2.775,8.596,15.382,21.652,6,0.269295,8.00
166,492,1.086093,2.025641,1.146853,156,139,1.122302,4.300699,0.92936,1.75896,-10.449511,0.172992,0.089476,92,0.044004,0.038742,9,0.056962,0.599177,0.826289,0.496011,3.592,17.083,53.450,97.717,7,0.297212,8.00
167,47,1.146341,1.444444,1.146341,18,19,0.947368,2.63816,0.853659,2.01914,-1.538462,0.221644,0.043155,1,,,,,,,,,,,,,,
168,27,1.08,1.533333,1.173913,15,14,1.071429,2.538258,0.92,1.913286,-1.0,0.177083,0.026667,1,,,,,,,,,,,,,,
169,275,1.09127,1.647541,1.095618,122,121,1.008264,4.361921,0.920635,1.924613,-6.666667,0.174468,0.019639,20,0.015665,-0.006411,10,0.089552,0.557464,0.859425,0.466374,2.742,11.192,28.292,49.583,7,0.309755,8.00
170,203,1.051813,1.626866,1.134078,67,65,1.030769,3.46645,0.953368,1.91783,-3.811321,0.161434,0.040677,14,0.043876,0.014881,8,0.055046,0.477077,0.883569,0.391269,2.927,8.000,16.636,24.709,6,0.163749,8.00
171,212,1.164835,1.580645,1.065327,93,97,0.958763,4.237657,0.868132,1.901945,-2.167832,0.115492,0.077302,15,0.009952,0.039311,12,0.054422,0.341860,0.911827,0.298752,2.933,6.533,11.267,16.400,8,0.135651,8.00
172,272,1.182609,1.603604,1.114754,111,99,1.121212,4.127382,0.83913,1.846699,-4.0,0.22984,0.055158,29,0.031195,0.026831,9,0.044944,0.540238,0.893305,0.454419,3.150,9.083,22.617,42.950,7,0.342930,8.00
173,93,1.021978,1.372549,1.068966,51,47,1.085106,3.485915,0.978022,2.005313,-1.855072,0.113659,0.011848,4,0.010753,0.016425,7,0.028571,0.365932,0.935605,0.308969,2.643,5.500,8.262,11.714,6,0.054379,8.00
174,77,1.132353,1.555556,1.069444,27,27,1.0,2.781033,0.867647,1.973631,-2.714286,0.230035,0.034014,2,0.001064,0.011905,5,0.000000,0.428372,0.847382,0.314446,2.714,6.551,9.327,10.061,4,-0.147537,8.00
175,33,1.064516,1.3125,1.178571,16,13,1.230769,2.306163,0.935484,2.005106,-0.571429,0.115385,0.0,0,,,,,,,,,,,,,,
176,281,1.101961,1.554545,1.076628,110,113,0.973451,4.178011,0.898039,1.9379,-3.308642,0.231828,0.04088,19,0.027264,0.016364,9,0.105263,0.459767,0.873359,0.375347,2.725,7.242,14.917,22.233,6,0.251189,8.00
177,86,1.04878,1.310345,1.102564,58,52,1.115385,3.798067,0.95122,2.043595,-0.8,0.11303,0.005228,2,0.005107,0.008844,6,0.157895,0.314625,0.911601,0.254477,2.522,4.543,6.674,8.174,5,0.154852,8.00
178,100,1.086957,1.305085,1.06383,59,49,1.204082,3.677916,0.923913,1.958494,-0.506667,0.052771,0.0,2,0.049222,-0.034889,11,0.051948,0.226910,0.899335,0.196892,2.630,4.674,6.674,8.522,8,-0.131870,8.00
179,57,1.096154,1.4,1.036364,35,35,1.0,3.293373,0.923077,2.023567,-1.708333,0.250503,0.09,3,0.000000,0.043750,8,0.040816,0.309211,0.874134,0.255033,2.600,5.267,8.300,10.567,6,0.281319,8.00
180,250,1.082251,1.745455,1.068376,110,118,0.932203,4.459732,0.917749,1.8912,-4.425532,0.242219,0.013521,20,0.036329,-0.004054,11,0.041667,0.577703,0.887299,0.485375,2.900,9.200,24.850,49.350,7,0.149730,8.00
181,38,1.055556,1.5,1.266667,14,10,1.4,1.988217,0.944444,1.832441,-0.947368,0.221607,0.071667,3,,,,,,,,,,,,,,
182,41,1.0,1.0625,1.078947,32,23,1.391304,2.715786,1.0,2.149468,-0.764706,0.062057,0.0,0,,,,,,,,,,,,,,
183,192,1.142857,1.45679,1.084746,81,81,1.0,3.981469,0.869048,1.993195,-2.298246,0.122296,0.017626,7,0.003129,0.001535,7,0.067797,0.397949,0.878352,0.322389,2.633,5.850,11.108,15.950,6,0.424078,8.00
184,37,1.121212,1.380952,1.027778,21,21,1.0,2.863924,0.878788,2.036159,-0.615385,0.22314,0.085294,2,,,,,,,,,,,,,,
185,3,1.0,1.5,1.0,2,3,0.666667,1.098612,1.0,2.202246,1.333333,0.4375,0.0,0,,,,,,,,,,,,,,
186,164,1.093333,1.569444,1.205882,72,60,1.2,3.497036,0.913333,1.853618,-3.54955,0.17549,0.026667,17,0.032081,0.014565,10,0.035398,0.379009,0.867025,0.323938,3.018,7.909,15.273,25.073,8,0.315479,8.00
187,672,1.035439,1.826316,1.239852,190,118,1.610169,3.712297,0.966102,1.775165,-11.307918,0.177777,0.055338,104,0.057594,0.020703,10,0.034582,0.580558,0.806435,0.478246,4.017,22.558,60.158,113.042,7,0.217205,8.00
188,41,1.078947,1.392857,1.051282,28,32,0.875,3.370977,0.921053,1.990431,-0.205128,0.07955,0.046667,1,,,,,,,,,,,,,,
189,37,1.0,1.333333,1.088235,18,17,1.058824,2.372513,1.0,2.046952,-0.782609,0.24019,0.0,1,,,,,,,,,,,,,,
190,61,1.051724,1.419355,1.051724,31,31,1.0,3.194203,0.948276,2.014309,-1.045455,0.159465,0.02303,3,0.017341,0.023106,6,0.000000,0.314262,0.933569,0.254255,2.600,4.636,6.527,8.091,5,0.157972,8.00
191,239,1.116822,1.594828,1.143541,116,85,1.364706,3.819846,0.934579,1.911493,-7.341317,0.172462,0.08446,29,0.035170,0.078770,8,0.194595,0.628753,0.865159,0.507354,2.958,11.200,30.908,54.333,6,0.124577,8.00
192,65,1.048387,1.25641,1.203704,39,32,1.21875,3.000438,0.951613,2.089841,-0.530612,0.063365,0.021739,1,0.000000,0.017007,4,0.000000,0.273359,0.887410,0.204298,2.420,4.130,5.029,5.638,4,-0.031704,8.00
193,40,1.025641,1.16,1.25,25,22,1.136364,2.90702,0.974359,2.106626,0.785714,0.10113,0.0,0,,,,,,,,,,,,,,
194,10,1.0,1.0,1.0,6,4,1.5,1.279854,1.0,2.245317,1.0,0.049383,0.0,0,,,,,,,,,,,,,,
195,6,1.0,1.0,1.5,6,4,1.5,1.329661,1.0,2.202246,1.333333,0.049383,0.0,0,,,,,,,,,,,,,,
196,49,1.113636,1.259259,1.088889,27,28,0.964286,3.096274,0.886364,2.058979,0.705882,0.067274,0.068027,2,,,,,,,,,,,,,,
197,123,1.069565,1.522727,1.060345,44,46,0.956522,3.268388,0.930435,1.958564,-1.969231,0.18225,0.070529,9,0.013063,0.041148,8,0.059701,0.319497,0.878347,0.261431,2.733,5.480,8.733,11.667,6,0.407920,8.00
198,3,1.0,1.0,1.0,2,2,1.0,0.636514,1.0,nan,2.0,0.222222,0.0,0,,,,,,,,,,,,,,
199,43,1.02381,1.466667,1.02381,15,12,1.25,2.007846,0.97619,1.916159,-3.904762,0.231293,0.10202,2,,,,,,,,,,,,,,
200,32,1.032258,1.190476,1.066667,21,21,1.0,2.896821,0.967742,2.174468,0.56,0.166205,0.059829,1,,,,,,,,,,,,,,
201,99,1.1,1.416667,1.11236,60,56,1.071429,3.761532,0.9,2.001667,-1.975309,0.134765,0.039359,6,0.002390,0.030570,11,0.094118,0.294909,0.898113,0.254982,2.653,5.367,8.857,12.184,8,0.290674,8.00
202,155,1.083916,1.424658,1.192308,73,55,1.327273,3.462883,0.916084,1.942276,-4.792079,0.150493,0.102037,10,0.002385,0.056650,8,0.057692,0.427894,0.868037,0.359153,2.870,8.593,16.037,25.981,7,0.062985,8.00
203,12,1.090909,1.111111,1.090909,9,5,1.8,1.098612,0.909091,2.066538,-1.4,0.104167,0.0,0,,,,,,,,,,,,,,
204,41,1.108108,1.21875,1.205882,32,27,1.185185,3.138767,0.891892,2.019986,-0.410256,0.0568,0.041176,1,,,,,,,,,,,,,,
205,42,1.105263,1.26087,1.02439,23,23,1.0,2.926337,0.894737,2.188909,-0.275862,0.120065,0.0,0,,,,,,,,,,,,,,
206,37,1.121212,1.190476,1.121212,21,11,1.909091,1.815266,0.878788,2.06565,-7.25,0.097394,0.071769,2,,,,,,,,,,,,,,
207,32,1.103448,1.4,1.230769,15,17,0.882353,2.408499,0.896552,2.097379,0.666667,0.078889,0.0,0,,,,,,,,,,,,,,
208,50,1.041667,1.178571,1.190476,28,25,1.12,2.956951,0.958333,2.048692,-0.060606,0.08781,0.046667,1,0.000000,0.006061,4,0.000000,0.237114,0.893328,0.176345,2.467,3.844,4.689,5.089,4,-0.051013,8.00
209,14,1.272727,1.5,1.0,4,5,0.8,1.215388,0.727273,1.961797,0.666667,0.346939,0.0,0,,,,,,,,,,,,,,
210,58,1.115385,1.371429,1.234043,35,22,1.590909,2.778618,0.884615,1.871599,-1.666667,0.0984,0.06746,4,0.000579,0.019097,9,0.000000,0.331138,0.901747,0.283911,2.882,5.863,9.706,14.333,7,0.020458,8.00
211,30,1.2,1.230769,1.111111,13,11,1.181818,2.247889,0.8,2.096239,0.875,0.060491,0.0,1,,,,,,,,,,,,,,
212,8,1.0,1.0,1.0,6,6,1.0,1.732868,1.0,2.442695,2.0,0.049587,0.0,0,,,,,,,,,,,,,,
213,7,1.0,1.166667,1.0,6,6,1.0,1.747868,1.0,2.168177,0.857143,0.24,0.0,0,,,,,,,,,,,,,,
214,8,1.0,1.0,1.0,7,6,1.166667,1.732868,1.0,2.339645,1.714286,0.041667,0.0,0,,,,,,,,,,,,,,
215,5,1.0,1.0,1.0,4,4,1.0,1.332179,1.0,2.442695,2.0,0.081633,0.0,0,,,,,,,,,,,,,,
216,10,1.0,1.2,1.0,5,5,1.0,1.418484,1.0,2.120785,0.666667,0.296875,0.0,0,,,,,,,,,,,,,,
217,46,1.045455,1.178571,1.095238,28,26,1.076923,2.941204,0.954545,2.117782,0.3125,0.151701,0.0,0,,,,,,,,,,,,,,
218,7,1.0,1.0,1.0,4,4,1.0,1.277034,1.0,2.442695,2.0,0.081633,0.0,0,,,,,,,,,,,,,,
219,10,1.0,1.333333,1.0,6,8,0.75,2.025326,1.0,2.295976,1.25,0.201183,0.0,0,,,,,,,,,,,,,,
220,21,1.05,1.214286,1.105263,14,13,1.076923,2.331253,0.95,2.14542,-0.705882,0.217391,0.0,0,,,,,,,,,,,,,,
221,15,1.25,1.3,1.666667,10,6,1.666667,1.639706,0.75,1.965543,-0.615385,0.084444,0.0,2,,,,,,,,,,,,,,
222,12,1.2,1.111111,1.090909,9,8,1.125,1.979205,0.8,2.202246,1.333333,0.173469,0.0,0,,,,,,,,,,,,,,
223,21,1.3125,1.416667,1.166667,12,13,0.923077,2.42548,0.6875,1.989166,0.4,0.105263,0.116667,1,,,,,,,,,,,,,,
224,12,1.0,1.0,1.090909,11,9,1.222222,2.138333,1.0,2.311541,1.636364,0.024931,0.0,0,,,,,,,,,,,,,,
225,3,1.0,1.0,1.0,3,3,1.0,1.098612,1.0,2.442695,2.0,0.12,0.0,0,,,,,,,,,,,,,,
226,10,1.111111,1.428571,1.428571,7,7,1.0,1.886697,0.888889,1.840245,-0.222222,0.481481,0.233333,1,,,,,,,,,,,,,,
227,14,1.166667,1.2,1.076923,10,10,1.0,2.205598,0.833333,2.162232,1.0,0.132716,0.0,0,,,,,,,,,,,,,,
228,1,1.0,1.0,1.0,1,1,1.0,-0.0,1.0,nan,2.0,nan,0.0,0,,,,,,,,,,,,,,
229,4,1.0,1.0,1.0,3,3,1.0,1.039721,1.0,2.442695,2.0,0.12,0.0,0,,,,,,,,,,,,,,
230,2,1.0,1.0,1.0,2,2,1.0,0.693147,1.0,nan,2.0,0.222222,0.0,0,,,,,,,,,,,,,,
231,3,1.0,1.0,1.0,3,3,1.0,1.098612,1.0,2.202246,1.333333,0.375,0.0,0,,,,,,,,,,,,,,
232,3,1.0,1.0,1.0,3,3,1.0,1.098612,1.0,2.442695,2.0,0.12,0.0,0,,,,,,,,,,,,,,
233,2,1.0,1.0,1.0,2,2,1.0,0.693147,1.0,nan,2.0,0.222222,0.0,0,,,,,,,,,,,,,,
234,2,1.0,1.0,1.0,2,2,1.0,0.693147,1.0,nan,2.0,0.222222,0.0,0,,,,,,,,,,,,,,
235,22,1.1,1.4,1.1,5,6,0.833333,1.451463,0.9,2.168177,0.857143,0.26,0.0,0,,,,,,,,,,,,,,
236,6,1.2,1.5,1.2,2,2,1.0,0.450561,0.8,nan,0.666667,0.555556,0.0,0,,,,,,,,,,,,,,
237,1,1.0,1.0,1.0,1,1,1.0,-0.0,1.0,nan,2.0,nan,0.0,0,,,,,,,,,,,,,,
